REGION,MODEL,INIT_DATE,INIT_HOUR,VERIF_DATE,FLAG,WEIGHT,PARAM,VALUE,10Y_NORMAL,30Y_NORMAL
UNITED STATES,ecmen,2010-01-01,00,2010-01-01,F,GAS,HDD,36.35,28.51,30.70
UNITED STATES,ecmen,2010-01-01,00,2010-01-02,F,GAS,HDD,40.94,28.67,30.72
UNITED STATES,ecmen,2010-01-01,00,2010-01-03,F,GAS,HDD,41.62,28.70,30.80
UNITED STATES,ecmen,2010-01-01,00,2010-01-04,F,GAS,HDD,40.46,28.84,30.90
UNITED STATES,ecmen,2010-01-01,00,2010-01-05,F,GAS,HDD,39.87,29.04,30.91
UNITED STATES,ecmen,2010-01-01,00,2010-01-06,F,GAS,HDD,39.50,29.11,30.92
UNITED STATES,ecmen,2010-01-01,00,2010-01-07,F,GAS,HDD,40.92,29.19,30.95
UNITED STATES,ecmen,2010-01-01,00,2010-01-08,F,GAS,HDD,42.74,29.33,30.99
UNITED STATES,ecmen,2010-01-01,00,2010-01-09,F,GAS,HDD,42.84,29.47,30.99
UNITED STATES,ecmen,2010-01-01,00,2010-01-10,F,GAS,HDD,41.71,29.59,30.93
UNITED STATES,ecmen,2010-01-01,00,2010-01-11,F,GAS,HDD,40.29,29.64,30.93
UNITED STATES,ecmen,2010-01-01,00,2010-01-12,F,GAS,HDD,38.67,29.65,30.91
UNITED STATES,ecmen,2010-01-01,00,2010-01-13,F,GAS,HDD,37.92,29.74,30.89
UNITED STATES,ecmen,2010-01-01,00,2010-01-14,F,GAS,HDD,37.78,29.83,30.88
UNITED STATES,ecmen,2010-01-01,00,2010-01-01,F,POP,CDD,0.05,0.19,0.14
UNITED STATES,ecmen,2010-01-01,00,2010-01-02,F,POP,CDD,0.00,0.17,0.14
UNITED STATES,ecmen,2010-01-01,00,2010-01-03,F,POP,CDD,0.00,0.16,0.14
UNITED STATES,ecmen,2010-01-01,00,2010-01-04,F,POP,CDD,0.00,0.16,0.14
UNITED STATES,ecmen,2010-01-01,00,2010-01-05,F,POP,CDD,0.00,0.16,0.14
UNITED STATES,ecmen,2010-01-01,00,2010-01-06,F,POP,CDD,0.00,0.16,0.14
UNITED STATES,ecmen,2010-01-01,00,2010-01-07,F,POP,CDD,0.00,0.16,0.14
UNITED STATES,ecmen,2010-01-01,00,2010-01-08,F,POP,CDD,0.00,0.14,0.14
UNITED STATES,ecmen,2010-01-01,00,2010-01-09,F,POP,CDD,0.00,0.14,0.14
UNITED STATES,ecmen,2010-01-01,00,2010-01-10,F,POP,CDD,0.00,0.14,0.14
UNITED STATES,ecmen,2010-01-01,00,2010-01-11,F,POP,CDD,0.00,0.13,0.12
UNITED STATES,ecmen,2010-01-01,00,2010-01-12,F,POP,CDD,0.01,0.13,0.12
UNITED STATES,ecmen,2010-01-01,00,2010-01-13,F,POP,CDD,0.01,0.13,0.11
UNITED STATES,ecmen,2010-01-01,00,2010-01-14,F,POP,CDD,0.00,0.13,0.11

